Text,Language,text_length,text_length_log
"[19] Several million years ago, a species of small African ape gained the ability to stand upright.",English,99,4.605170185988092
"[15] The subsequent advent of human life, and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form, affecting both the nature and quantity of other organisms as well as global climate.",English,263,5.575949103146316
"By comparison, the Great Oxygenation Event, produced by the proliferation of algae during the Siderian period, required about 300 million years to culminate.",English,157,5.062595033026967
"The present era is classified as part of a mass extinction event, the Holocene extinction event, the fastest ever to have occurred.",English,131,4.882801922586371
"[20][21] Some, such as E. O. Wilson of Harvard University, predict that human destruction of the biosphere could cause the extinction of one-half of all species in the next 100 years.",English,183,5.214935757608986
"[22] The extent of the current extinction event is still being researched, debated and calculated by biologists.",English,112,4.727387818712341
[23][24][25] The Earth's atmosphere is a key factor in sustaining the ecosystem.,English,80,4.394449154672439
The thin layer of gases that envelops the Earth is held in place by gravity.,English,76,4.343805421853684
"Air is mostly nitrogen, oxygen, water vapor, with much smaller amounts of carbon dioxide, argon, etc.",English,101,4.624972813284271
The atmospheric pressure declines steadily with altitude.,English,57,4.060443010546419
The ozone layer plays an important role in depleting the amount of ultraviolet (UV) radiation that reaches the surface.,English,119,4.787491742782046
"As DNA is readily damaged by UV light, this serves to protect life at the surface.",English,82,4.418840607796598
"The atmosphere also retains heat during the night, thereby reducing the daily temperature extremes.",English,99,4.605170185988092
"Terrestrial weather occurs almost exclusively in the lower part of the atmosphere, and serves as a convective system for redistributing heat.",English,141,4.955827057601261
"[26] Ocean currents are another important factor in determining climate, particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions.",English,210,5.351858133476067
These currents help to moderate the differences in temperature between winter and summer in the temperate zones.,English,112,4.727387818712341
"Also, without the redistributions of heat energy by the ocean currents and atmosphere, the tropics would be much hotter, and the polar regions much colder.",English,155,5.049856007249537
Weather can have both beneficial and harmful effects.,English,53,3.9889840465642745
"Extremes in weather, such as tornadoes or hurricanes and cyclones, can expend large amounts of energy along their paths, and produce devastation.",English,145,4.983606621708336
"Surface vegetation has evolved a dependence on the seasonal variation of the weather, and sudden changes lasting only a few years can have a dramatic effect, both on the vegetation and on the animals which depend on its growth for their food.",English,242,5.493061443340548
Climate is a measure of the long-term trends in the weather.,English,60,4.110873864173311
"Various factors are known to influence the climate, including ocean currents, surface albedo, greenhouse gases, variations in the solar luminosity, and changes to the Earth's orbit.",English,181,5.204006687076795
"Based on historical records, the Earth is known to have undergone drastic climate changes in the past, including ice ages.",English,122,4.812184355372417
"The climate of a region depends on a number of factors, especially latitude.",English,76,4.343805421853684
A latitudinal band of the surface with similar climatic attributes forms a climate region.,English,90,4.51085950651685
"There are a number of such regions, ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes.",English,144,4.976733742420574
"Weather is also influenced by the seasons, which result from the Earth's axis being tilted relative to its orbital plane.",English,121,4.804021044733257
"Thus, at any given time during the summer or winter, one part of the Earth is more directly exposed to the rays of the sun.",English,123,4.820281565605037
This exposure alternates as the Earth revolves in its orbit.,English,60,4.110873864173311
"At any given time, regardless of season, the northern and southern hemispheres experience opposite seasons.",English,107,4.68213122712422
"Weather is a chaotic system that is readily modified by small changes to the environment, so accurate weather forecasting is limited to only a few days.",English,152,5.030437921392435
"[27] Overall, two things are happening worldwide: (1) temperature is increasing on the average; and (2) regional climates have been undergoing noticeable changes.",English,162,5.093750200806762
[28] Water is a chemical substance that is composed of hydrogen and oxygen (H2O) and is vital for all known forms of life.,English,122,4.812184355372417
"[29] In typical usage, water refers only to its liquid form or state, but the substance also has a solid state, ice, and a gaseous state, water vapor, or steam.",English,160,5.081404364984463
Water covers 71% of the Earth's surface.,English,40,3.713572066704308
"[30] On Earth, it is found mostly in oceans and other large bodies of water, with 1.6% of water below ground in aquifers and 0.001% in the air as vapor, clouds, and precipitation.",English,179,5.19295685089021
"[31][32] Oceans hold 97% of surface water, glaciers, and polar ice caps 2.4%, and other land surface water such as rivers, lakes, and ponds 0.6%.",English,145,4.983606621708336
"Additionally, a minute amount of the Earth's water is contained within biological bodies and manufactured products.",English,115,4.7535901911063645
"An ocean is a major body of saline water, and a principal component of the hydrosphere.",English,87,4.477336814478207
"Approximately 71% of the Earth's surface (an area of some 361 million square kilometers) is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas.",English,212,5.3612921657094255
"More than half of this area is over 3,000 meters (9,800 feet) deep.",English,67,4.219507705176107
"Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt.",English,139,4.941642422609304
"Though generally recognized as several 'separate' oceans, these waters comprise one global, interconnected body of salt water often referred to as the World Ocean or global ocean.",English,179,5.19295685089021
[33][34] This concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography.,English,164,5.10594547390058
"[35] The major oceanic divisions are defined in part by the continents, various archipelagos, and other criteria: these divisions are (in descending order of size) the Pacific Ocean, the Atlantic Ocean, the Indian Ocean, the Southern Ocean, and the Arctic Ocean.",English,262,5.572154032177765
"Smaller regions of the oceans are called seas, gulfs, bays and other names.",English,75,4.330733340286331
"There are also salt lakes, which are smaller bodies of landlocked saltwater that are not interconnected with the World Ocean.",English,125,4.836281906951478
Two notable examples of salt lakes are the Aral Sea and the Great Salt Lake.,English,76,4.343805421853684
"A lake (from Latin word lacus) is a terrain feature (or physical feature), a body of liquid on the surface of a world that is localized to the bottom of basin (another type of landform or terrain feature; that is, it is not global) and moves slowly if it moves at all.",English,268,5.594711379601839
"On Earth, a body of water is considered a lake when it is inland, not part of the ocean, is larger and deeper than a pond, and is fed by a river.",English,145,4.983606621708336
"[36][37] The only world other than Earth known to harbor lakes is Titan, Saturn's largest moon, which has lakes of ethane, most likely mixed with methane.",English,154,5.043425116919247
"It is not known if Titan's lakes are fed by rivers, though Titan's surface is carved by numerous river beds.",English,108,4.6913478822291435
"Natural lakes on Earth are generally found in mountainous areas, rift zones, and areas with ongoing or recent glaciation.",English,121,4.804021044733257
Other lakes are found in endorheic basins or along the courses of mature rivers.,English,80,4.394449154672439
"In some parts of the world, there are many lakes because of chaotic drainage patterns left over from the last Ice Age.",English,118,4.77912349311153
"All lakes are temporary over geologic time scales, as they will slowly fill in with sediments or spill out of the basin containing them.",English,136,4.919980925828125
"A pond is a body of standing water, either natural or man-made, that is usually smaller than a lake.",English,100,4.61512051684126
"A wide variety of man-made bodies of water are classified as ponds, including water gardens designed for aesthetic ornamentation, fish ponds designed for commercial fish breeding, and solar ponds designed to store thermal energy.",English,229,5.438079308923196
Ponds and lakes are distinguished from streams via current speed.,English,65,4.189654742026425
"While currents in streams are easily observed, ponds and lakes possess thermally driven micro-currents and moderate wind driven currents.",English,137,4.927253685157205
"These features distinguish a pond from many other aquatic terrain features, such as stream pools and tide pools.",English,112,4.727387818712341
"A river is a natural watercourse,[38] usually freshwater, flowing towards an ocean, a lake, a sea or another river.",English,115,4.7535901911063645
"In a few cases, a river simply flows into the ground or dries up completely before reaching another body of water.",English,114,4.74493212836325
"Small rivers may also be called by several other names, including stream, creek, brook, rivulet, and rill; there is no general rule that defines what can be called a river.",English,172,5.153291594497779
Many names for small rivers are specific to geographic location; one example is Burn in Scotland and North-east England.,English,120,4.795790545596741
"Sometimes a river is said to be larger than a creek, but this is not always the case, due to vagueness in the language.",English,119,4.787491742782046
[39] A river is part of the hydrological cycle.,English,47,3.871201010907891
"Water within a river is generally collected from precipitation through surface runoff, groundwater recharge, springs, and the release of stored water in natural ice and snowpacks (i.e., from glaciers).",English,201,5.308267697401205
"A stream is a flowing body of water with a current, confined within a bed and stream banks.",English,91,4.5217885770490405
"In the United States, a stream is classified as a watercourse less than 60 feet (18 metres) wide.",English,97,4.584967478670572
"Streams are important as conduits in the water cycle, instruments in groundwater recharge, and they serve as corridors for fish and wildlife migration.",English,151,5.0238805208462765
The biological habitat in the immediate vicinity of a stream is called a riparian zone.,English,87,4.477336814478207
"Given the status of the ongoing Holocene extinction, streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity.",English,163,5.099866427824199
"The study of streams and waterways in general involves many branches of inter-disciplinary natural science and engineering, including hydrology, fluvial geomorphology, aquatic ecology, fish biology, riparian ecology, and others.",English,228,5.43372200355424
Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way.,English,107,4.68213122712422
[41] The structure and composition is determined by various environmental factors that are interrelated.,English,104,4.653960350157523
Variations of these factors will initiate dynamic modifications to the ecosystem.,English,81,4.406719247264253
"Some of the more important components are soil, atmosphere, radiation from the sun, water, and living organisms.",English,112,4.727387818712341
Central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment.,English,128,4.859812404361672
"Eugene Odum, a founder of ecology, stated: ""Any unit that includes all of the organisms (ie: the ""community"") in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure, biotic diversity, and material cycles (i.e.",English,280,5.638354669333745
: exchange of materials between living and nonliving parts) within the system is an ecosystem.,English,94,4.553876891600541
"""[42] Within the ecosystem, species are connected and dependent upon one another in the food chain, and exchange energy and matter between themselves as well as with their environment.",English,184,5.220355825078324
"[43] The human ecosystem concept is based on the human/nature dichotomy and the idea that all species are ecologically dependent on each other, as well as with the abiotic constituents of their biotope.",English,202,5.313205979041787
[44] A smaller unit of size is called a microecosystem.,English,55,4.02535169073515
"For example, a microsystem can be a stone and all the life under it.",English,68,4.23410650459726
"A macroecosystem might involve a whole ecoregion, with its drainage basin.",English,74,4.31748811353631
[45] Wilderness is generally defined as areas that have not been significantly modified by human activity.,English,106,4.672828834461906
"Wilderness areas can be found in preserves, estates, farms, conservation preserves, ranches, national forests, national parks, and even in urban areas along rivers, gulches, or otherwise undeveloped areas.",English,205,5.327876168789581
"Wilderness areas and protected parks are considered important for the survival of certain species, ecological studies, conservation, and solitude.",English,146,4.990432586778736
"Some nature writers believe wilderness areas are vital for the human spirit and creativity,[46] and some ecologists consider wilderness areas to be an integral part of the Earth's self-sustaining natural ecosystem (the biosphere).",English,230,5.442417710521793
"They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos, arboretums, or laboratories.",English,187,5.236441962829949
"Although there is no universal agreement on the definition of life, scientists generally accept that the biological manifestation of life is characterized by organization, metabolism, growth, adaptation, response to stimuli, and reproduction.",English,242,5.493061443340548
[47] Life may also be said to be simply the characteristic state of organisms.,English,78,4.3694478524670215
"Properties common to terrestrial organisms (plants, animals, fungi, protists, archaea, and bacteria) are that they are cellular, carbon-and-water-based with complex organization, having a metabolism, a capacity to grow, respond to stimuli, and reproduce.",English,254,5.541263545158426
An entity with these properties is generally considered life.,English,61,4.127134385045092
"However, not every definition of life considers all of these properties to be essential.",English,88,4.48863636973214
Human-made analogs of life may also be considered to be life.,English,61,4.127134385045092
"The biosphere is the part of Earth's outer shell—including land, surface rocks, water, air and the atmosphere—within which life occurs, and which biotic processes in turn alter or transform.",English,190,5.25227342804663
"From the broadest geophysiological point of view, the biosphere is the global ecological system integrating all living beings and their relationships, including their interaction with the elements of the lithosphere (rocks), hydrosphere (water), and atmosphere (air).",English,267,5.5909869805108565
"The entire Earth contains over 75 billion tons (150 trillion pounds or about 6.8×1013 kilograms) of biomass (life), which lives within various environments within the biosphere.",English,177,5.181783550292085
"[48] Over nine-tenths of the total biomass on Earth is plant life, on which animal life depends very heavily for its existence.",English,127,4.852030263919617
"[49] More than 2 million species of plant and animal life have been identified to date,[50] and estimates of the actual number of existing species range from several million to well over 50 million.",English,198,5.293304824724492
"[51][52][53] The number of individual species of life is constantly in some degree of flux, with new species appearing and others ceasing to exist on a continual basis.",English,168,5.1298987149230735
[54][55] The total number of species is in rapid decline.,English,57,4.060443010546419
"[56][57][58] The origin of life on Earth is not well understood, but it is known to have occurred at least 3.5 billion years ago,[61][62][63] during the hadean or archean eons on a primordial Earth that had a substantially different environment than is found at present.",English,270,5.602118820879701
[64] These life forms possessed the basic traits of self-replication and inheritable traits.,English,92,4.532599493153256
"Once life had appeared, the process of evolution by natural selection resulted in the development of ever-more diverse life forms.",English,130,4.875197323201151
Species that were unable to adapt to the changing environment and competition from other life forms became extinct.,English,115,4.7535901911063645
"However, the fossil record retains evidence of many of these older species.",English,75,4.330733340286331
Current fossil and DNA evidence shows that all existing species can trace a continual ancestry back to the first primitive life forms.,English,134,4.90527477843843
[64] When basic forms of plant life developed the process of photosynthesis the sun's energy could be harvested to create conditions which allowed for more complex life forms.,English,175,5.170483995038151
[65] The resultant oxygen accumulated in the atmosphere and gave rise to the ozone layer.,English,89,4.499809670330265
The incorporation of smaller cells within larger ones resulted in the development of yet more complex cells called eukaryotes.,English,126,4.844187086458591
"[66] Cells within colonies became increasingly specialized, resulting in true multicellular organisms.",English,102,4.634728988229636
"With the ozone layer absorbing harmful ultraviolet radiation, life colonized the surface of Earth.",English,98,4.59511985013459
"The first form of life to develop on the Earth were microbes, and they remained the only form of life until about a billion years ago when multi-cellular organisms began to appear.",English,180,5.198497031265826
"[67] Microorganisms are single-celled organisms that are generally microscopic, and smaller than the human eye can see.",English,119,4.787491742782046
"They include Bacteria, Fungi, Archaea, and Protista.",English,52,3.970291913552122
"These life forms are found in almost every location on the Earth where there is liquid water, including in the Earth's interior.",English,128,4.859812404361672
"[68]
Their reproduction is both rapid and profuse.",English,50,3.9318256327243257
"The combination of a high mutation rate and a horizontal gene transfer[69] ability makes them highly adaptable, and able to survive in new environments, including outer space.",English,175,5.170483995038151
[70] They form an essential part of the planetary ecosystem.,English,60,4.110873864173311
"However, some microorganisms are pathogenic and can post health risk to other organisms.",English,88,4.48863636973214
"Originally Aristotle divided all living things between plants, which generally do not move fast enough for humans to notice, and animals.",English,137,4.927253685157205
"In Linnaeus' system, these became the kingdoms Vegetabilia (later Plantae) and Animalia.",English,88,4.48863636973214
"Since then, it has become clear that the Plantae as originally defined included several unrelated groups, and the fungi and several groups of algae were removed to new kingdoms.",English,177,5.181783550292085
"However, these are still often considered plants in many contexts.",English,66,4.204692619390966
"Bacterial life is sometimes included in flora,[71][72] and some classifications use the term bacterial flora separately from plant flora.",English,137,4.927253685157205
"Among the many ways of classifying plants are by regional floras, which, depending on the purpose of study, can also include fossil flora, remnants of plant life from a previous era.",English,182,5.209486152841421
"People in many regions and countries take great pride in their individual arrays of characteristic flora, which can vary widely across the globe due to differences in climate and terrain.",English,187,5.236441962829949
"Regional floras commonly are divided into categories such as native flora and agricultural and garden flora, the lastly mentioned of which are intentionally grown and cultivated.",English,178,5.187385805840755
"Some types of ""native flora"" actually have been introduced centuries ago by people migrating from one region or continent to another, and become an integral part of the native, or natural flora of the place to which they were introduced.",English,237,5.472270673671475
This is an example of how human interaction with nature can blur the boundary of what is considered nature.,English,107,4.68213122712422
Another category of plant has historically been carved out for weeds.,English,69,4.248495242049359
"Though the term has fallen into disfavor among botanists as a formal way to categorize ""useless"" plants, the informal use of the word ""weeds"" to describe those plants that are deemed worthy of elimination is illustrative of the general tendency of people and societies to seek to alter or shape the course of nature.",English,316,5.75890177387728
"Similarly, animals are often categorized in ways such as domestic, farm animals, wild animals, pests, etc.",English,106,4.672828834461906
according to their relationship to human life.,English,46,3.8501476017100584
Animals as a category have several characteristics that generally set them apart from other living things.,English,106,4.672828834461906
"Animals are eukaryotic and usually multicellular (although see Myxozoa), which separates them from bacteria, archaea, and most protists.",English,136,4.919980925828125
"They are heterotrophic, generally digesting food in an internal chamber, which separates them from plants and algae.",English,116,4.762173934797756
"They are also distinguished from plants, algae, and fungi by lacking cell walls.",English,80,4.394449154672439
With a few exceptions—most notably the two phyla consisting of sponges and placozoans—animals have bodies that are differentiated into tissues.,English,143,4.969813299576001
"These include muscles, which are able to contract and control locomotion, and a nervous system, which sends and processes signals.",English,130,4.875197323201151
There is also typically an internal digestive chamber.,English,54,4.007333185232471
The eukaryotic cells possessed by all animals are surrounded by a characteristic extracellular matrix composed of collagen and elastic glycoproteins.,English,149,5.0106352940962555
"This may be calcified to form structures like shells, bones, and spicules, a framework upon which cells can move about and be reorganized during development and maturation, and which supports the complex anatomy required for mobility.",English,234,5.459585514144159
"Although humans comprise only a minuscule proportion of the total living biomass on Earth, the human effect on nature is disproportionately large.",English,146,4.990432586778736
"Because of the extent of human influence, the boundaries between what humans regard as nature and ""made environments"" is not clear cut except at the extremes.",English,158,5.0689042022202315
"Even at the extremes, the amount of natural environment that is free of discernible human influence is diminishing at an increasingly rapid pace.",English,145,4.983606621708336
The development of technology by the human race has allowed the greater exploitation of natural resources and has helped to alleviate some of the risk from natural hazards.,English,172,5.153291594497779
"In spite of this progress, however, the fate of human civilization remains closely linked to changes in the environment.",English,120,4.795790545596741
There exists a highly complex feedback loop between the use of advanced technology and changes to the environment that are only slowly becoming understood.,English,155,5.049856007249537
"[73] Man-made threats to the Earth's natural environment include pollution, deforestation, and disasters such as oil spills.",English,124,4.8283137373023015
Humans have contributed to the extinction of many plants and animals.,English,69,4.248495242049359
Humans employ nature for both leisure and economic activities.,English,62,4.143134726391533
The acquisition of natural resources for industrial use remains a sizable component of the world's economic system.,English,115,4.7535901911063645
"[74][75] Some activities, such as hunting and fishing, are used for both sustenance and leisure, often by different people.",English,123,4.820281565605037
Agriculture was first adopted around the 9th millennium BCE.,English,60,4.110873864173311
"Ranging from food production to energy, nature influences economic wealth.",English,74,4.31748811353631
"Although early humans gathered uncultivated plant materials for food and employed the medicinal properties of vegetation for healing,[76] most modern human use of plants is through agriculture.",English,193,5.267858159063328
"The clearance of large tracts of land for crop growth has led to a significant reduction in the amount available of forestation and wetlands, resulting in the loss of habitat for many plant and animal species as well as increased erosion.",English,238,5.476463551931511
"[77] Beauty in nature has historically been a prevalent theme in art and books, filling large sections of libraries and bookstores.",English,131,4.882801922586371
"That nature has been depicted and celebrated by so much art, photography, poetry, and other literature shows the strength with which many people associate nature and beauty.",English,173,5.159055299214529
"Reasons why this association exists, and what the association consists of, are studied by the branch of philosophy called aesthetics.",English,133,4.897839799950911
"Beyond certain basic characteristics that many philosophers agree about to explain what is seen as beautiful, the opinions are virtually endless.",English,145,4.983606621708336
[78] Nature and wildness have been important subjects in various eras of world history.,English,87,4.477336814478207
An early tradition of landscape art began in China during the Tang Dynasty (618–907).,English,85,4.454347296253507
The tradition of representing nature as it is became one of the aims of Chinese painting and was a significant influence in Asian art.,English,134,4.90527477843843
"Although natural wonders are celebrated in the Psalms and the Book of Job, wilderness portrayals in art became more prevalent in the 1800s, especially in the works of the Romantic movement.",English,189,5.247024072160486
British artists John Constable and J. M. W. Turner turned their attention to capturing the beauty of the natural world in their paintings.,English,138,4.9344739331306915
"Before that, paintings had been primarily of religious scenes or of human beings.",English,81,4.406719247264253
"William Wordsworth's poetry described the wonder of the natural world, which had formerly been viewed as a threatening place.",English,125,4.836281906951478
Increasingly the valuing of nature became an aspect of Western culture.,English,71,4.276666119016055
[79] This artistic movement also coincided with the Transcendentalist movement in the Western world.,English,100,4.61512051684126
"A common classical idea of beautiful art involves the word mimesis, the imitation of nature.",English,92,4.532599493153256
Also in the realm of ideas about beauty in nature is that the perfect is implied through perfect mathematical forms and more generally by patterns in nature.,English,157,5.062595033026967
"As David Rothenburg writes, ""The beautiful is the root of science and the goal of art, the highest possibility that humanity can ever hope to see"".",English,147,4.997212273764115
"[80]:281 Some fields of science see nature as matter in motion, obeying certain laws of nature which science seeks to understand.",English,129,4.867534450455582
"For this reason the most fundamental science is generally understood to be ""physics""—the name for which is still recognizable as meaning that it is the ""study of nature"".",English,170,5.14166355650266
Matter is commonly defined as the substance of which physical objects are composed.,English,83,4.430816798843313
It constitutes the observable universe.,English,39,3.6888794541139363
The visible components of the universe are now believed to compose only 4.9 percent of the total mass.,English,102,4.634728988229636
The remainder is believed to consist of 26.8 percent cold dark matter and 68.3 percent dark energy.,English,99,4.605170185988092
[81] The exact arrangement of these components is still unknown and is under intensive investigation by physicists.,English,115,4.7535901911063645
The behaviour of matter and energy throughout the observable universe appears to follow well-defined physical laws.,English,115,4.7535901911063645
These laws have been employed to produce cosmological models that successfully explain the structure and the evolution of the universe we can observe.,English,150,5.017279836814924
The mathematical expressions of the laws of physics employ a set of twenty physical constants[82] that appear to be static across the observable universe.,English,154,5.043425116919247
"[83] The values of these constants have been carefully measured, but the reason for their specific values remains a mystery.",English,124,4.8283137373023015
"Outer space, also simply called space, refers to the relatively empty regions of the Universe outside the atmospheres of celestial bodies.",English,138,4.9344739331306915
Outer space is used to distinguish it from airspace (and terrestrial locations).,English,80,4.394449154672439
"There is no discrete boundary between Earth's atmosphere and space, as the atmosphere gradually attenuates with increasing altitude.",English,132,4.890349128221754
"Outer space within the Solar System is called interplanetary space, which passes over into interstellar space at what is known as the heliopause.",English,145,4.983606621708336
"Outer space is sparsely filled with several dozen types of organic molecules discovered to date by microwave spectroscopy, blackbody radiation left over from the Big Bang and the origin of the universe, and cosmic rays, which include ionized atomic nuclei and various subatomic particles.",English,288,5.666426688112432
"There is also some gas, plasma and dust, and small meteors.",English,59,4.0943445622221
"Additionally, there are signs of human life in outer space today, such as material left over from previous manned and unmanned launches which are a potential hazard to spacecraft.",English,179,5.19295685089021
Some of this debris re-enters the atmosphere periodically.,English,58,4.07753744390572
"Although Earth is the only body within the solar system known to support life, evidence suggests that in the distant past the planet Mars possessed bodies of liquid water on the surface.",English,186,5.231108616854587
"[84] For a brief period in Mars' history, it may have also been capable of forming life.",English,88,4.48863636973214
"At present though, most of the water remaining on Mars is frozen.",English,65,4.189654742026425
"If life exists at all on Mars, it is most likely to be located underground where liquid water can still exist.",English,110,4.709530201312334
